,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_id,nameRu,nameEn,year,posterUrl,posterUrlPreview,countries[0].country,countries[1].country,countries[2].country,genres[0].genre,genres[1].genre,genres[2].genre,duration,directors[0].directorRu,directors[1].directorRu,directors[2].directorRu,directors[3].directorRu,directors[4].directorRu,directors[5].directorRu,directors[6].directorRu,directors[7].directorRu,directors[8].directorRu,directors[9].directorRu,directors[10].directorRu,directors[11].directorRu,directors[12].directorRu,directors[13].directorRu,directors[14].directorRu,directors[15].directorRu,directors[16].directorRu,directors[17].directorRu,directors[18].directorRu,directors[19].directorRu,directors[20].directorRu,directors[21].directorRu,directors[22].directorRu,directors[23].directorRu,directors[24].directorRu,directors[25].directorRu,directors[26].directorRu,directors[27].directorRu,directors[28].directorRu,directors[29].directorRu,directors[30].directorRu,directors[31].directorRu,directors[32].directorRu,directors[33].directorRu,directors[34].directorRu,directors[35].directorRu,directors[0].directorEn,directors[1].directorEn,directors[2].directorEn,directors[3].directorEn,directors[4].directorEn,directors[5].directorEn,directors[6].directorEn,directors[7].directorEn,directors[8].directorEn,directors[9].directorEn,directors[10].directorEn,directors[11].directorEn,directors[12].directorEn,directors[13].directorEn,directors[14].directorEn,directors[15].directorEn,directors[16].directorEn,directors[17].directorEn,directors[18].directorEn,directors[19].directorEn,directors[20].directorEn,directors[21].directorEn,directors[22].directorEn,directors[23].directorEn,directors[24].directorEn,directors[25].directorEn,directors[26].directorEn,directors[27].directorEn,directors[28].directorEn,directors[29].directorEn,directors[30].directorEn,directors[31].directorEn,directors[32].directorEn,directors[33].directorEn,directors[34].directorEn,directors[35].directorEn,filmId,type,amount,cur,directors,rating
5841,5841,5841,5842,5842,64746d3c37c1458c9452ccec,По млечному пути,On the Milky Road,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/749503.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/749503.jpg,Сербия,Великобритания,США,фэнтези,драма,мелодрама,125.0,Эмир Кустурица,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emir Kusturica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749503,,0.0,,1,6.782
5842,5842,5842,5843,5843,64746d3c37c1458c9452cced,Не стучи дважды,Don't Knock Twice,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/910183.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/910183.jpg,Великобритания,,,ужасы,фэнтези,триллер,93.0,Карадог В. Джеймс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caradog W. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910183,,0.0,,1,4.922
5843,5843,5843,5844,5844,64746d3c37c1458c9452ccee,Три икса: Мировое господство,xXx: Return of Xander Cage,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/428709.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/428709.jpg,Китай,Канада,США,боевик,триллер,приключения,110.0,Ди Джей Карузо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.J. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428709,,0.0,,1,5.317
5844,5844,5844,5845,5845,64746d3c37c1458c9452ccef,Невеста,,2017,https://kinopoiskapiunofficial.tech/images/posters/kp/984360.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/984360.jpg,Россия,,,ужасы,,,90.0,Святослав Подгаевский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984360,,0.0,,0,4.745
5845,5845,5845,5846,5846,64746d3c37c1458c9452ccf0,Рай,,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/897166.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/897166.jpg,Россия,Германия,,военный,драма,история,131.0,Андрей Кончаловский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897166,,0.0,,0,6.793
5846,5846,5846,5847,5847,64746d3c37c1458c9452ccf1,Иллюзия любви,Mal de pierres,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/862939.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/862939.jpg,Франция,Бельгия,Канада,драма,мелодрама,,116.0,Николь Гарсия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicole Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862939,,0.0,,1,6.528
5847,5847,5847,5848,5848,64746d3d37c1458c9452ccf2,Ловушка,A Kind of Murder,2015,https://kinopoiskapiunofficial.tech/images/posters/kp/741062.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/741062.jpg,США,,,триллер,драма,криминал,95.0,Энди Годдард,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy Goddard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741062,,0.0,,1,5.411
5848,5848,5848,5849,5849,64746d3d37c1458c9452ccf3,Джимми – покоритель Америки,Jimmy Vestvood: Amerikan Hero,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/791506.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/791506.jpg,США,,,комедия,,,84.0,Джонатан Кесселман,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Kesselman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791506,,0.0,,1,4.469
5849,5849,5849,5850,5850,64746d3d37c1458c9452ccf4,Отважный рыцарь,Der kleine Ritter Trenk,2015,https://kinopoiskapiunofficial.tech/images/posters/kp/914859.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/914859.jpg,Германия,Австрия,,мультфильм,фэнтези,комедия,75.0,Энтони Пауэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914859,,0.0,,1,6.209
5850,5850,5850,5851,5851,64746d3d37c1458c9452ccf5,Призрак дома Бриар,The Unspoken,2014,https://kinopoiskapiunofficial.tech/images/posters/kp/863346.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/863346.jpg,Канада,,,ужасы,триллер,,91.0,Шелдон Уилсон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheldon Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863346,,0.0,,1,4.929
